Sat Aug 15 05:24:09 IST 2020,1294422088095334407,NEGATIVE,0
Sat Aug 15 05:24:05 IST 2020,1294422072358207488,NEUTRAL,1092
Sat Aug 15 05:24:04 IST 2020,1294422065223737344,NEUTRAL,0
Sat Aug 15 05:24:00 IST 2020,1294422050975690753,NEUTRAL,19844
Sat Aug 15 05:23:58 IST 2020,1294422042750509056,NEUTRAL,97
Sat Aug 15 05:23:58 IST 2020,1294422042251583488,NEGATIVE,9423
Sat Aug 15 05:23:55 IST 2020,1294422030348099584,NEUTRAL,1010
Sat Aug 15 05:23:52 IST 2020,1294422017035436034,NEUTRAL,0
Sat Aug 15 05:23:50 IST 2020,1294422006667059205,NEUTRAL,0
Sat Aug 15 05:23:48 IST 2020,1294422000287580164,NEGATIVE,9423
Sat Aug 15 05:23:43 IST 2020,1294421978284199938,NEGATIVE,9423
Sat Aug 15 05:23:41 IST 2020,1294421971149688833,NEGATIVE,9423
Sat Aug 15 05:23:40 IST 2020,1294421966187720705,NEGATIVE,0
Sat Aug 15 05:23:40 IST 2020,1294421964157853696,NEGATIVE,0
Sat Aug 15 05:23:38 IST 2020,1294421957950222336,POSITIVE,0
Sat Aug 15 05:23:38 IST 2020,1294421957539254273,NEUTRAL,19844
Sat Aug 15 05:23:32 IST 2020,1294421934298390528,NEUTRAL,0
Sat Aug 15 05:23:28 IST 2020,1294421915268980738,NEUTRAL,0
Sat Aug 15 05:23:26 IST 2020,1294421908780396546,NEGATIVE,9423
Sat Aug 15 05:23:25 IST 2020,1294421903181053953,NEGATIVE,9423
Sat Aug 15 05:23:20 IST 2020,1294421883736272898,NEGATIVE,9423
Sat Aug 15 05:23:16 IST 2020,1294421865470013454,NEUTRAL,0
Sat Aug 15 05:23:15 IST 2020,1294421860759863298,NEUTRAL,0
Sat Aug 15 05:23:13 IST 2020,1294421854250315778,NEUTRAL,0
Sat Aug 15 05:23:13 IST 2020,1294421852153090049,NEUTRAL,4
Sat Aug 15 05:23:12 IST 2020,1294421847845621762,NEUTRAL,19844
Sat Aug 15 05:23:11 IST 2020,1294421843970064385,NEUTRAL,19844
Sat Aug 15 05:23:09 IST 2020,1294421836181241858,NEGATIVE,9423
Sat Aug 15 05:23:09 IST 2020,1294421834994155524,NEUTRAL,0
Sat Aug 15 05:23:08 IST 2020,1294421830027980800,NEGATIVE,9423
Sat Aug 15 05:23:07 IST 2020,1294421826823585792,NEGATIVE,196
Sat Aug 15 05:23:04 IST 2020,1294421816061067264,NEUTRAL,339
Sat Aug 15 05:23:03 IST 2020,1294421809476009984,NEUTRAL,19844
Sat Aug 15 05:23:03 IST 2020,1294421809404805120,NEUTRAL,0
Sat Aug 15 05:23:03 IST 2020,1294421809207615489,NEUTRAL,0
Sat Aug 15 05:23:00 IST 2020,1294421796314284034,NEUTRAL,0
Sat Aug 15 05:22:58 IST 2020,1294421788818997248,NEUTRAL,0
Sat Aug 15 05:22:58 IST 2020,1294421788231958529,NEUTRAL,0
Sat Aug 15 05:22:58 IST 2020,1294421787997081600,NEGATIVE,9423
Sat Aug 15 05:22:55 IST 2020,1294421778354384897,NEUTRAL,0
Sat Aug 15 05:22:53 IST 2020,1294421770427039746,NEUTRAL,0
